Supplier,PO Number,Description
,3093/M00114,[SIGNMM6060] Multi Message Sign 600 x 600mm
,3093/M00114,[SIGNMM1230] Multi Message Sign 1200 x 300mm
,3093/M00114,[SIGNCUST] Custom Design Sign - Magnetic
,3093/M00114,[SIGNMMF] Multi Message Sign Frame - Black
,3093/M00114,Safety Sign Bi Pod Multi Message Leg Only (1)
,3093/M00114,Delivery - Regional
Australian Laboratory Service,3093/M00115,2 Waters – weekly for first month then 1-2
Total Tools Commercial Pty Lt,3093/M00116,"Pipe Laser, Hammer Drill, Other Item for Pipe Works"
Boral Resources (QLD),3093/M00117,Lean Mix /Flowable Fill
,3093/M00117,N32/20 concrete (boral ave $236 + haul ave
,3093/M00117,25MPa Blinding (20MPa on site)
,3093/M00117,320kg/m3 Kerb Machine Mix TMR Road Authority
,3093/M00117,Cartage Fees @ $1.50
,3093/M00117,TMR Stabilised Sand MRTS04 12:1 Sand to GP
,3093/M00117,TMR Dry Stabilised Sand MRTS04 12:1 Sand to
,3093/M00117,S50/20/100 TMR Road Authority Mix MRTS70
,3093/M00117,S40/10/60 TMR Road Authority Mix
,3093/M00117,20mm TMR Road Authority No Fines Concrete to
,3093/M00117,Retarder Low Dose
,3093/M00117,Retarder Medium Dose
,3093/M00117,Retarder Large Dose
,3093/M00117,Waiting time on site per minute
,3093/M00117,Waiting time on site outside normal hours
,3093/M00117,Minimum load charges (under 3m3)
,3093/M00117,"Washout if using retarders, fibres etc."
,3093/M00117,Plant Operating Fee Outside Hours
,3093/M00117,Surcharges per m3 out of hours - Mon to Fr
,3093/M00117,Surcharges per m3 Saturday outside normal
,3093/M00117,Surcharges per m3 Saturday outside normal
,3093/M00117,"Surcharges per m3 Sunday, Saturday night,"
,3093/M00117,Cancellation fees < 50m3
,3093/M00117,Cancellation fees > 50m3
Infrabuild Construction Solut,3093/M00118,REO BAR including cartage
,3093/M00118,REO HWARE
,3093/M00118,Delivery on ground to Oakey
Officeworks Superstores P/L,3093/M00119,Tablets x2
,3093/M00119,cases x2
,3093/M00119,Whiteout
Jobfit Health Group Pty Ltd,3093/M00120,Matt Gesler - Full Medical
Bunnings - QLD,3093/M00121,Misc items
Global Synthetics Pty Ltd,3093/M00122,Geotextile Class D - Culvert Works
,3093/M00122,Delivery
Jobfit Health Group Pty Ltd,3093/M00123,Jobfit Basic Medical - Jordan Benny
Pathtech Pty Ltd,3093/M00124,Saliva Detection Device DrugWipe 6S
,3093/M00124,Quick Reference Guide
,3093/M00124,Freight Charge
Artcraft Pty Ltd,3093/M00125,Road Edge Guide Post - Standard (Brimblecombe Road)
,3093/M00125,Road Edge Guide Post - Standard (Bischofs Road)
,3093/M00125,Road Edge Guide Post - Standard (Garskes Road)
,3093/M00125,Road Edge Guide Post - Standard (Gowrie Little Placeain Road)
,3093/M00125,Road Edge Guide Post - Standard (Jannusch Road)
,3093/M00125,Road Edge Guide Post - Standard (Kingsthorpe Silverleigh Road)
,3093/M00125,Road Edge Guide Post - Standard (Linora Drive)
,3093/M00125,Road Edge Guide Post - Standard (Reis Road)
,3093/M00125,Road Edge Guide Post - Standard (Old Homebush)
,3093/M00125,Freight
Verifact Traffic Pty Ltd,3093/M00126,Traffic Control @ 1
,3093/M00126,Traffic Control @ 1.5
,3093/M00126,Traffic Control @ 2
,3093/M00126,Traffic Control @ Weekend
,3093/M00126,Traffic Control Vehicle with Message Board
,3093/M00126,Traffic Control Vehicle with Variable
,3093/M00126,Establishment per person per day
,3093/M00126,Meal Allowance on or after 9.5 hrs worked
Master Hire,3093/M00127,PETROL BRUSHCUTTER  & METAL BLADE ON HIRE
,3093/M00127,POLE CHAINSAW 2 STROKE & SAFETY PACK
Sydney Tools,3093/M00128,134840 - Bayer Honda Powered GX35 Petrol Post Driver With 4 Adaptors BHPPD GP No:134840
,3093/M00128,96482 - KNIPEX 9901280 280mm Concrete Nipper GP No: 4003773012214
,3093/M00128,"141554 - Makita 18V X2 Skin DRS780Z Bless 36V Circular Saw 185mm (7"") Rear Handle Tool Only GP No: 9346435001306"
,3093/M00128,154328 - Plumboss GLL2 Long Handle Gatic Lifter GP No: 9346435001306
,3093/M00128,78507 - Makita ACC T-01373 Bit Set 38 PCE Impact Driver Bit Set 088381942737 GP No: 0883819465136
,3093/M00128,110635/*200183 - Makita ACC P-19906 Drill Bit Set 19PC Performance Set 0883819465136 GP NO: 0883819465136
,3093/M00128,145676 - GME TX6160TP UHF CB Radio 5-Watt (Twin Pk) 80 Channel IP67 30Hr - Twin Desktop + Vehicle Charge GP No: 9319493277464
,3093/M00128,102483/*145652 - Estwing EWE24C 24OZ Claw Hammer Leather Grip 502167 GP No: 034139612810
,3093/M00128,64677 - Makinta Acc B-15578 Saw Blade Aluminium TCT 185mm x 20 x 60T GP No: 088381363727
,3093/M00128,Freight
Tradeline Site Solutions,3093/M00129,TSS/25633
,3093/M00129,TSS/25762
Jasmond Transport Pty Ltd,3093/M00130,Tandem - 13T
,3093/M00130,Twin Steers - 18T
,3093/M00130,Truck & Dog - 29T
,3093/M00130,Truck & Dog - 33T
,3093/M00130,Truck & PBS Dog - 38T
Tradeline Site Solutions,3093/M00131,"Hessian Sand Bag 33"" x 14"""
,3093/M00131,Sand Bag Filler
,3093/M00131,Delivery - Regional
DS Workwear,3093/M00132,Shirt L/sl Coolweight C/w Tape Y/n XL
,3093/M00132,Oliver AT55 Series Wheat L/up Boot Sz 11
,3093/M00132,Embroidery
,3093/M00132,D elivery
Tradeline Site Solutions,3093/M00133,Safety Flags - BLUE Bunting - 30m (ea/25box)
,3093/M00133,Safety Flags - Orange Bunting - 30m
,3093/M00133,Delivery - Regional
Europcar VIC,3093/M00134,Rental car
Dennis Plant Hire,3093/M00135,6T Combo Hire
DC Commercial Qld,3093/M00136,Rent for 16/10/23 to 15/10/23
,3093/M00136,3 Months bond
Europcar WA,3093/M00137,Hire prado for Ward
Officeworks Superstores P/L,3093/M00138,Tablets
Tradeline Site Solutions,3093/M00139,Star Post 1650mm Black (BL) (ea/ packs of 10)
,3093/M00139,Safety Caps / Star Post Caps (Bag of 100)
,3093/M00139,T-top Bollard Top and base
,3093/M00139,Triangular Day/Night Bunting 30m Reflective
,3093/M00139,Safety Sign 600 x 450mm - DANGER Deep
,3093/M00139,Safety Sign 600 x 450mm - SDS Located Here
,3093/M00139,Sign 450 x 600mm Spill Kit
,3093/M00139,1200 x 1800mm Coreflute Yellow Man Cut Out -
,3093/M00139,Custom Sticker A4 Look Up & Live (suit
,3093/M00139,1200 x 1800mm Coreflute Yellow Man Cut Out -
,3093/M00139,Custom Sticker A4 Be Line Aware
,3093/M00139,1200 x 1800mm Coreflute Yellow Man Cut Out -
,3093/M00139,Insect Repellant - Tropical Strength - 150g
,3093/M00139,Delivery - Regional
Yarramine Environmental,3093/M00140,Labour
,3093/M00140,Chemical Supply
